Id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
1,0.0000,0.0312,0.1094,0.0156,0.0156,0.1250,0.0781,0.0000,0.0312,0.1250,0.1250,0.0625,0.0312,0.0156,0.0312,0.0156,0.0781,0.0469,0.1094,0.0469,0.0938,0.0469,0.2656,0.0156,0.0625,0.1250,0.2188,0.1406,0.0938,0.0312,0.0156,0.0312,0.0625,0.0312,0.0625,0.0000,0.0781,0.1875,0.1406,0.1250,0.0469,0.1719,0.0781,0.1875,0.0469,0.1875,0.1719,0.0312,0.0156,0.1094,0.0469,0.0312,0.0938,0.0625,0.0625,0.0312,0.0156,0.1094,0.0781,0.0469,0.0312,0.0156,0.0312,0.0625
2,0.1562,0.1562,0.0469,0.0469,0.0938,0.1406,0.1250,0.0625,0.1094,0.0000,0.0469,0.0469,0.0469,0.0312,0.0469,0.1562,0.0469,0.1406,0.0625,0.0938,0.1719,0.0000,0.0000,0.0312,0.0469,0.0312,0.0469,0.1406,0.0156,0.0781,0.0000,0.1250,0.0938,0.0469,0.0312,0.0469,0.0156,0.0156,0.0312,0.0000,0.0156,0.0312,0.0156,0.1250,0.1562,0.0938,0.0625,0.1094,0.1094,0.0781,0.0625,0.0781,0.0781,0.0469,0.1094,0.1250,0.0469,0.0000,0.0781,0.1094,0.1094,0.1562,0.1250,0.1406
3,0.0625,0.0625,0.1094,0.1250,0.0781,0.0938,0.0781,0.0625,0.1250,0.0156,0.0781,0.0781,0.0938,0.1094,0.0156,0.2031,0.0938,0.0625,0.0156,0.0781,0.0312,0.0000,0.0156,0.0625,0.0156,0.0312,0.0312,0.0781,0.0781,0.0312,0.0781,0.0938,0.0781,0.0938,0.0625,0.0781,0.0156,0.0000,0.0156,0.0312,0.0625,0.0000,0.0156,0.0781,0.1094,0.0938,0.0781,0.0781,0.1250,0.0781,0.1094,0.1406,0.1250,0.0156,0.0469,0.1250,0.1094,0.0156,0.0312,0.1250,0.1719,0.0781,0.1094,0.2031
4,0.1250,0.0156,0.1562,0.0156,0.0625,0.0312,0.0469,0.0938,0.0938,0.1406,0.0781,0.0781,0.0469,0.0625,0.0469,0.0469,0.0781,0.0625,0.0625,0.0781,0.1094,0.0469,0.0938,0.0312,0.0781,0.1875,0.0156,0.0625,0.1250,0.0312,0.1250,0.0781,0.0625,0.0938,0.0469,0.0469,0.0781,0.1250,0.1406,0.1875,0.0625,0.0781,0.0156,0.0469,0.0312,0.0469,0.0312,0.1094,0.0469,0.0625,0.1094,0.0625,0.0469,0.0781,0.0625,0.0469,0.0156,0.1250,0.0938,0.0312,0.0781,0.0938,0.0625,0.0625
5,0.0938,0.0625,0.1406,0.1250,0.1406,0.0781,0.0625,0.1250,0.1406,0.0156,0.0625,0.1719,0.1406,0.1094,0.0469,0.0938,0.1250,0.0625,0.1094,0.0781,0.0469,0.0156,0.0156,0.0469,0.0469,0.0000,0.0156,0.0469,0.0781,0.0312,0.0312,0.1094,0.0469,0.1094,0.0938,0.0781,0.0469,0.0000,0.0000,0.0156,0.0625,0.0000,0.0000,0.0312,0.0625,0.0625,0.0469,0.1406,0.1406,0.1719,0.0469,0.1094,0.1406,0.0312,0.0312,0.0625,0.0781,0.0469,0.0156,0.0625,0.2031,0.0625,0.0781,0.1406
6,0.0156,0.0781,0.0000,0.1094,0.0625,0.0469,0.0000,0.0938,0.0469,0.0156,0.0312,0.0469,0.0938,0.0781,0.1250,0.2500,0.0781,0.0312,0.0312,0.1875,0.0156,0.0156,0.0625,0.0312,0.0000,0.0156,0.0469,0.0312,0.0312,0.1094,0.0156,0.1250,0.0156,0.0469,0.0625,0.0781,0.0312,0.0156,0.0156,0.0156,0.0469,0.0312,0.0156,0.0625,0.1250,0.0312,0.0938,0.1094,0.0938,0.0469,0.0469,0.1719,0.2188,0.0469,0.0312,0.1406,0.1094,0.0156,0.0625,0.2188,0.1094,0.2031,0.1719,0.2812
7,0.0625,0.1094,0.1250,0.1250,0.0938,0.0312,0.0469,0.0625,0.0469,0.0312,0.0938,0.0938,0.0781,0.0781,0.0469,0.1719,0.1094,0.0469,0.0156,0.0469,0.0469,0.0000,0.0156,0.0625,0.0312,0.0000,0.0469,0.0781,0.0312,0.0312,0.0625,0.1250,0.0625,0.0625,0.0469,0.0938,0.0156,0.0312,0.0156,0.0000,0.0938,0.0156,0.0156,0.0938,0.0938,0.1250,0.0156,0.1562,0.1875,0.0156,0.0625,0.1094,0.0625,0.0781,0.0781,0.1250,0.0938,0.0156,0.0625,0.1250,0.1719,0.1094,0.1719,0.2344
8,0.0938,0.0469,0.1094,0.0469,0.0312,0.0312,0.0781,0.1562,0.0625,0.0781,0.1250,0.1094,0.0625,0.0000,0.0938,0.0625,0.0312,0.0781,0.1094,0.0781,0.0469,0.0469,0.0625,0.0156,0.0469,0.1406,0.1719,0.0156,0.0781,0.0781,0.0469,0.0156,0.0625,0.0781,0.0625,0.0312,0.1719,0.0625,0.1562,0.0312,0.0938,0.1562,0.0938,0.1250,0.1250,0.0938,0.0625,0.0625,0.1094,0.0781,0.0938,0.0625,0.0469,0.0469,0.0781,0.0156,0.0312,0.0469,0.0781,0.0938,0.0781,0.0156,0.0469,0.0469
9,0.1094,0.0938,0.0312,0.1250,0.1562,0.0312,0.0625,0.0781,0.0469,0.0156,0.0469,0.1250,0.1406,0.0625,0.0938,0.1562,0.0781,0.0312,0.0312,0.1250,0.0469,0.0156,0.0312,0.0000,0.0625,0.0312,0.0000,0.0938,0.0625,0.0000,0.0625,0.0625,0.0469,0.0781,0.0469,0.0938,0.0312,0.0000,0.0000,0.0312,0.0469,0.0156,0.0469,0.0938,0.1250,0.0938,0.1250,0.1094,0.1250,0.1250,0.1250,0.1094,0.0312,0.0469,0.0938,0.0781,0.1094,0.0000,0.0938,0.1562,0.1562,0.0938,0.0781,0.1719
10,0.0938,0.0938,0.0781,0.0000,0.1094,0.0469,0.0156,0.1562,0.1094,0.0156,0.0938,0.0781,0.0000,0.1094,0.0625,0.0469,0.0625,0.0625,0.1250,0.0938,0.0781,0.0000,0.0469,0.0469,0.0312,0.0469,0.0469,0.0938,0.1250,0.0781,0.0156,0.2031,0.0312,0.0781,0.0469,0.0625,0.0938,0.0312,0.0312,0.0625,0.0469,0.0156,0.0156,0.0938,0.0156,0.0938,0.1094,0.1406,0.0781,0.0938,0.0469,0.0469,0.0625,0.0938,0.1250,0.1562,0.0312,0.1406,0.0156,0.0938,0.1250,0.1562,0.0938,0.0938
